Age,Gender,Location,Popularity,Discussed,Availability,Visibility,Quality,Affordable,Purity,Benchmarking,Recipe,Variety,Competitiveness,Promotion,Awareness,Price,Status
26,1,1,3,3,4,4,3,3,3,4,4,4,3,3,3,3,1
2,1,1,3,4,3,5,3,3,4,3,2,5,5,2,4,3,1
24,1,1,4,4,5,2,2,4,4,4,4,4,4,5,4,4,0
22,1,1,3,2,4,3,1,2,2,3,2,3,2,2,2,4,0
24,1,1,3,2,2,2,3,3,3,2,4,3,2,5,1,1,0
22,1,1,4,3,5,2,2,4,3,2,3,4,2,4,2,4,0
22,2,1,5,5,5,4,4,3,3,5,5,4,5,4,4,3,1
22,2,1,2,2,3,3,2,3,3,3,3,4,4,4,4,4,1
2,2,2,3,3,2,3,2,4,3,3,4,3,3,4,3,4,1
25,1,1,3,4,4,4,4,4,3,2,4,3,4,4,4,2,1
27,1,1,5,4,5,4,5,5,4,4,4,4,4,3,3,4,1
25,2,1,4,3,4,3,3,4,4,3,2,4,3,4,4,2,1
22,2,1,4,4,4,4,2,3,3,4,4,4,4,4,4,2,0
29,1,3,3,4,4,3,2,2,4,4,4,4,4,3,2,2,0
23,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
22,1,1,5,4,5,5,4,5,4,4,3,4,4,3,4,2,1
25,1,3,3,3,3,3,2,1,4,4,3,3,3,3,2,4,1
23,1,3,4,3,5,2,4,4,3,4,4,4,4,4,4,4,0
22,2,1,3,3,4,3,2,2,3,3,1,4,3,2,3,3,0
2,1,1,5,4,3,4,4,4,4,3,4,4,4,4,3,3,0
23,1,2,3,2,3,4,4,2,3,4,4,4,4,5,3,3,0
23,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
37,1,1,2,2,3,4,1,2,1,1,2,1,3,3,3,3,1
22,2,1,4,4,5,4,4,3,2,4,4,3,4,4,4,4,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,3,4,4,4,3,4,5,3,4,4,4,4,4,4,4,1
23,1,1,2,2,2,2,2,4,2,3,3,4,2,5,4,4,1
22,1,3,4,4,3,4,2,2,1,4,4,4,4,4,4,4,0
22,1,1,3,3,4,2,4,4,4,4,3,4,4,5,3,2,0
2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
23,1,1,4,5,5,4,4,5,5,5,5,4,5,5,1,4,1
23,1,1,3,3,4,4,3,4,3,4,3,3,4,3,4,3,1
17,2,1,3,3,4,3,4,4,4,3,4,4,4,5,4,3,0
22,2,1,4,3,4,4,4,4,4,4,4,4,4,4,3,2,0
22,2,1,3,3,2,2,2,3,3,3,3,3,3,3,3,3,0
23,1,3,3,4,3,3,2,4,4,5,4,4,3,4,3,4,0
23,1,2,4,4,4,5,3,4,3,4,4,4,4,4,4,3,1
22,2,1,3,3,4,4,4,3,4,4,3,3,4,3,4,4,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
22,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
23,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
24,2,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,0
23,1,1,3,3,3,2,3,3,2,3,3,2,2,3,2,3,0
25,1,1,3,2,2,2,2,3,2,2,2,2,2,2,2,2,0
23,1,1,4,4,3,4,4,3,4,4,3,4,4,5,3,2,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
23,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
24,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
29,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,0
22,1,1,4,3,3,4,3,3,3,3,3,3,3,4,3,4,1
28,1,1,5,4,3,3,2,4,3,3,4,4,2,5,4,5,1
18,1,1,2,2,3,4,2,3,2,2,1,3,2,2,2,3,1
28,2,1,3,4,4,5,5,4,5,5,5,5,5,3,4,5,1
23,2,1,3,2,2,2,3,1,3,3,3,2,1,4,2,4,1
22,2,1,3,3,4,2,4,4,5,4,3,4,3,5,3,2,1
24,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
25,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
23,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
35,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1
